CCD CH, R(0), R(1), R(2),  Max line
RED0_0,       1.00000,      0.000000,      0.000000,      0.000000
RED0_1,       1.00000,      0.000000,      0.000000,      0.000000
RED1_0,       1.00000,      0.000000,      0.000000,      0.000000
RED1_1,       1.00000,      0.000000,      0.000000,      0.000000
RED2_0,       1.00000,      0.000000,      0.000000,      0.000000
RED2_1,       1.00000,      0.000000,      0.000000,      0.000000
RED3_0,       1.00000,      0.000000,      0.000000,      0.000000
RED3_1,       1.00000,      0.000000,      0.000000,      0.000000
RED4_0,       1.00000,      0.000000,      0.000000,      0.000000
RED4_1,       1.00000,      0.000000,      0.000000,      0.000000
RED5_0,       1.00000,      0.000000,      0.000000,      0.000000
RED5_1,       1.00000,      0.000000,      0.000000,      0.000000
RED6_0,       1.00000,      0.000000,      0.000000,      0.000000
RED6_1,       1.00000,      0.000000,      0.000000,      0.000000
RED7_0,       1.00000,      0.000000,      0.000000,      0.000000
RED7_1,       1.00000,      0.000000,      0.000000,      0.000000
RED8_0,       1.00000,      0.000000,      0.000000,      0.000000
RED8_1,       1.00000,      0.000000,      0.000000,      0.000000
RED9_0,       1.00000,      0.000000,      0.000000,      0.000000
RED9_1,       1.00000,      0.000000,      0.000000,      0.000000
IR10_0,      0.988149,  1.43502e-006, -4.34406e-011,       16469.0
IR10_1,      0.993699,  8.07480e-007, -2.58720e-011,       15546.0
IR11_0,      0.991918,  8.66398e-007, -2.32210e-011,       18635.0
IR11_1,      0.992577,  8.19697e-007, -2.26284e-011,       18050.0
BG12_0,      0.989311,  1.49964e-006, -5.25994e-011,       14261.0
BG12_1,      0.985875,  1.97762e-006, -6.92242e-011,       14296.0
BG13_0,      0.990916,  1.29636e-006, -4.62490e-011,       13982.0
BG13_1,      0.992965,  1.02316e-006, -3.72032e-011,       13734.0
